,Ticker,date,EPS(E),EPS(ACT),EPS(%),Rev(E),Rev(ACT),Rev(%),YoY(%),Next date,EPS(NE),Rev(NE)
MSFT,MSFT,1/25/22 16:16,$2.29 ,$2.48 ,8.30%,$50.84 B,$51.73 B,1.70%,20.10%,4/26/22 16:10,$2.18 ,N/A
MTDR,MTDR,10/26/21 16:15,$1.02 ,$1.25 ,22.55%,$381.7 M,$472.4 M,23.70%,132.20%,2/22/22 16:15,$1.06 ,$425.70 M
MTTR,MTTR,11/3/21 16:05,($0.22),($0.20),9.09%,$29.1 M,$27.7 M,-5.00%,,2/9/22 16:05,($0.97),$25.01 M
MU,MU,12/20/21 16:02,$2.01 ,$2.07 ,2.99%,$7.66 B,$7.69 B,0.40%,33.20%,3/21/22 16:00,$1.85 ,$7.52 B
NET,NET,11/4/21 16:15,($0.04),($0.01),75.00%,$165.7 M,$172.3 M,4.00%,51.00%,2/10/22 16:15,($0.09),$184.65 M
NFLX,NFLX,1/20/22 16:00,$0.82 ,$1.33 ,62.20%,$7.72 B,$7.71 B,-0.10%,16.00%,4/21/22 16:00,$2.90 ,N/A
NKE,NKE,12/20/21 16:15,$0.63 ,$0.83 ,31.75%,$11.25 B,$11.36 B,1.00%,1.00%,3/21/22 16:15,$0.72 ,$10.64 B
NTR,NTR,11/1/21 17:01,$1.23 ,$1.38 ,12.20%,$5.77 B,$6.02 B,4.40%,43.30%,2/16/22 17:00,$2.31 ,$6.13 B
NVDA,NVDA,11/17/21 16:20,$1.10 ,$1.16 ,5.45%,$6.82 B,$7.10 B,4.10%,50.30%,2/23/22 16:20,$1.01 ,$7.42 B
OKTA,OKTA,12/1/21 16:01,($0.24),$0.16 ,166.67%,$326.8 M,$350.7 M,7.30%,61.30%,3/2/22 16:00,($1.27),$358.75 M
ONON,ONON,11/16/21 5:00,$0.04 ,$0.06 ,50.00%,$201.3 M,$237.5 M,18.00%,,2/15/22 5:00,$0.00 ,N/A
PFE,PFE,11/2/21 6:45,$1.08 ,$1.34 ,24.07%,$22.38 B,$24.09 B,7.70%,98.60%,2/8/22 6:45,$0.85 ,$22.64 B
PG,PG,1/19/22 6:58,$1.65 ,$1.66 ,0.61%,$20.41 B,$20.95 B,2.70%,6.10%,4/20/22 7:00,$1.30 ,$18.80 B
PLTR,PLTR,11/9/21 7:00,$0.03 ,$0.04 ,33.33%,$385.0 M,$392.1 M,1.90%,35.50%,2/15/22 7:00,$0.04 ,$413.99 M
PYPL,PYPL,11/8/21 16:17,$1.07 ,$1.18 ,10.28%,$6.25 B,$6.18 B,-1.10%,13.20%,2/1/22 16:15,$1.13 ,$6.88 B
QCOM,QCOM,11/3/21 16:00,$2.26 ,$2.44 ,7.96%,$8.86 B,$9.34 B,5.40%,11.90%,2/2/22 16:00,$3.00 ,$10.41 B
RBLX,RBLX,11/8/21 16:06,($0.16),($0.13),18.75%,$637.1 M,$509.3 M,-20.10%,,2/15/22 16:05,($0.14),$722.27 M
RDWR,RDWR,11/3/21 6:00,$0.19 ,$0.20 ,5.26%,$71.0 M,$73.4 M,3.50%,17.40%,2/9/22 6:00,$0.13 ,$75.40 M
REGN,REGN,11/4/21 6:30,$9.81 ,$15.37 ,56.68%,$2.69 B,$3.45 B,28.40%,50.50%,2/4/22 6:30,$18.70 ,$4.34 B
RIVN,RIVN,12/16/21 16:10,($11.92),($7.68),35.57%,,$1.0 M,,,3/17/22 16:10,($1.58),$62.90 M
RPRX,RPRX,11/10/21 7:00,$0.69 ,$0.73 ,5.80%,$603.3 M,$586.0 M,-2.90%,8.90%,2/15/22 7:00,$0.79 ,$543.05 M
SBLK,SBLK,11/16/21 17:03,$2.16 ,$2.19 ,1.39%,$389.8 M,$415.7 M,6.60%,107.60%,2/16/22 17:00,$2.52 ,$450.51 M
SEER,SEER,11/9/21 16:05,($0.29),($0.30),-3.45%,$1.2 M,$2.2 M,75.20%,,2/8/22 16:05,($0.34),$2.23 M
SEMR,SEMR,11/9/21 16:30,($0.04),$0.00 ,100.00%,,$49.3 M,,,2/8/22 16:30,($0.05),$0.00 M
SPCE,SPCE,11/8/21 16:05,($0.25),($0.32),-28.00%,$1.6 M,$2.6 M,57.30%,,2/22/22 16:05,($0.39),$0.00 M
SQ,SQ,11/4/21 16:05,$0.34 ,$0.28 ,-17.65%,$4.61 B,$3.84 B,-16.60%,26.70%,2/24/22 16:05,$0.25 ,$3.97 B
TSLA,TSLA,1/26/22 16:09,$2.26 ,$2.54 ,12.39%,$15.75 B,$17.72 B,12.50%,64.90%,4/27/22 16:10,$1.43 ,N/A
TSM,TSM,1/13/22 5:00,$1.12 ,$1.15 ,2.68%,$16.10 B,$15.74 B,-2.30%,24.10%,4/14/22 5:00,$1.27 ,$16.97 B
TTD,TTD,11/8/21 7:30,$0.15 ,$0.18 ,20.00%,$283.5 M,$301.1 M,6.20%,39.30%,2/17/22 7:30,$0.08 ,$389.88 M
TWLO,TWLO,10/27/21 16:07,($0.14),($0.07),50.00%,$680.5 M,$740.2 M,8.80%,65.20%,2/9/22 16:05,($0.94),$764.19 M
U,U,11/9/21 16:05,($0.07),($0.13),-85.71%,$264.2 M,$286.3 M,8.40%,42.60%,2/3/22 16:05,($0.07),$294.79 M
UPST,UPST,11/9/21 16:05,$0.33 ,$0.42 ,27.27%,$214.4 M,$228.5 M,6.50%,,2/15/22 16:05,$0.17 ,$270.12 M
V,V,1/27/22 16:05,$1.69 ,$1.81 ,7.10%,$6.77 B,$7.06 B,4.30%,24.10%,,$1.63 ,N/A
VALE,VALE,,$1.08 ,$1.16 ,7.41%,$16.15 B,$12.68 B,-21.50%,17.80%,2/24/22 0:00,$0.74 ,$11.01 B
VLDR,VLDR,11/4/21 16:05,($0.14),($0.20),-42.86%,$20.4 M,$13.1 M,-35.90%,-59.30%,2/24/22 16:05,($0.19),$17.00 M
WST,WST,10/28/21 6:00,$1.82 ,$2.06 ,13.19%,$687.1 M,$706.5 M,2.80%,28.90%,2/17/22 6:00,$1.92 ,$709.10 M
XMTR,XMTR,11/10/21 16:06,($0.31),($0.33),-6.45%,$54.6 M,$56.7 M,3.90%,,2/9/22 16:05,($0.34),$62.27 M
ZKIN,ZKIN,,,,,,,,,9/17/22 0:00,$0.00 ,N/A
ZM,ZM,11/22/21 16:05,$1.09 ,$1.10 ,0.92%,$1.02 B,$1.05 B,3.00%,35.20%,2/21/22 16:05,$0.67 ,$1.04 B
