,Ticker,Close,Adj Close,Volume,Max,min,max drop,YTD,1d,1mo,1wk
INMD,INMD,36.44,36.44,1089314.0,97.86,35.32,-62.76%,-48.37%,-4.96%,-31.98%,3.17%
JPY=X,JPY=X,117.28,117.28,0.0,147.22,108.99,-20.34%,1.93%,0.95%,1.06%,1.65%
KOS,KOS,6.24,6.24,9275278.0,19.24,1.84,-67.57%,80.35%,-1.42%,40.86%,11.03%
KP3R-USD,KP3R-USD,389.74,389.74,168599312.0,1864.97,276.45,-79.10%,-56.32%,13.14%,-45.63%,5.97%
MANA-USD,MANA-USD,2.34,2.34,313963296.0,5.48,0.61,-57.35%,-28.56%,-1.40%,-21.27%,-1.15%
MAR,MAR,161.64,161.64,2270053.0,183.26,130.00,-11.80%,-2.18%,-0.57%,-6.85%,9.17%
MAXR,MAXR,32.52,32.52,1216797.0,83.34,24.35,-60.98%,10.13%,-5.66%,16.94%,-2.63%
MGV,MGV,102.97,102.97,206453.0,109.31,97.85,-5.80%,-3.60%,-0.72%,-4.90%,-0.45%
MQ,MQ,10.01,10.01,11677291.0,33.25,8.97,-69.89%,-41.70%,-2.05%,-9.98%,7.98%
MSFT,MSFT,280.07,280.07,27181313.0,343.11,265.02,-18.37%,-16.73%,-1.93%,-10.01%,0.42%
MTDR,MTDR,53.27,53.27,1329294.0,54.26,25.59,-1.82%,44.28%,-1.82%,23.68%,-1.46%
MTTR,MTTR,7.01,7.01,7878758.0,33.05,6.18,-78.79%,-66.04%,-1.54%,-21.32%,3.09%
MU,MU,72.82,72.82,22763261.0,97.36,66.38,-25.21%,-21.83%,-3.83%,-17.36%,-3.80%
NET,NET,88.72,88.72,4397948.0,217.25,80.07,-59.16%,-32.53%,-9.03%,-22.72%,-3.73%
NFLX,NFLX,340.32,340.32,4751091.0,691.69,340.32,-50.80%,-43.51%,-4.61%,-17.58%,-2.84%
NKE,NKE,122.63,122.63,5433545.0,177.51,121.21,-30.92%,-26.42%,-2.70%,-16.16%,-1.45%
NTR,NTR,101.40,101.40,4503401.0,101.90,57.51,-0.49%,34.84%,-0.49%,34.89%,2.02%
NVDA,NVDA,221.00,221.00,36629779.0,333.76,181.61,-33.78%,-24.86%,-2.46%,-17.24%,3.50%
OHM-USD,OHM-USD,30.18,30.18,4836669.0,1320.52,30.18,-97.71%,-89.96%,-2.01%,-52.66%,-1.73%
OKTA,OKTA,154.06,154.06,2056205.0,291.78,154.06,-47.20%,-31.28%,-7.04%,-21.18%,-0.22%
ONON,ONON,22.02,22.02,1903907.0,51.45,20.73,-57.20%,-41.76%,-4.47%,-27.21%,6.22%
PFE,PFE,50.27,50.27,32392578.0,61.25,38.98,-17.93%,-14.87%,2.17%,-2.33%,4.77%
PG,PG,143.22,143.22,6920006.0,164.21,134.40,-12.78%,-12.45%,-1.19%,-10.26%,-6.29%
PLTR,PLTR,11.39,11.39,37195114.0,39.00,10.43,-70.79%,-37.45%,-4.04%,-17.88%,2.52%
PYPL,PYPL,96.57,96.57,14492778.0,308.53,93.61,-68.70%,-48.79%,-2.01%,-21.45%,3.16%
QCOM,QCOM,152.34,152.34,7389278.0,189.28,122.95,-19.52%,-16.69%,-1.53%,-17.18%,1.49%
QQQ,QQQ,324.40,324.40,66026849.0,403.99,323.35,-19.70%,-18.46%,-2.07%,-11.54%,-0.14%
RBLX,RBLX,39.24,39.24,15058370.0,134.72,39.24,-70.87%,-61.96%,-5.38%,-44.32%,-4.99%
RDWR,RDWR,31.95,31.95,249206.0,41.74,28.96,-23.45%,-23.27%,-3.42%,2.31%,-4.83%
REGN,REGN,642.58,642.58,795038.0,680.96,542.70,-5.64%,1.75%,1.94%,3.68%,3.88%
RIVN,RIVN,38.05,38.05,42444703.0,172.01,38.05,-77.88%,-63.30%,-7.56%,-41.04%,-10.32%
RPRX,RPRX,38.27,38.27,580766.0,52.82,35.17,-27.55%,-3.96%,-0.62%,-4.85%,0.74%
SBLK,SBLK,30.13,30.13,2041799.0,1125.73,17.34,-97.32%,32.91%,0.70%,13.02%,8.73%
SEER,SEER,12.35,12.35,146616.0,84.06,11.89,-85.31%,-45.86%,-6.58%,-30.38%,3.00%
SEMR,SEMR,10.19,10.19,402458.0,31.32,10.19,-67.46%,-51.13%,-3.78%,-46.00%,-7.45%
SGDJPY=X,SGDJPY=X,85.97,85.97,0.0,92.48,80.27,-7.03%,1.03%,0.50%,-0.31%,1.51%
SPCE,SPCE,7.28,7.28,8416540.0,59.41,7.28,-87.75%,-45.59%,-3.83%,-20.52%,-1.09%
SPXS,SPXS,22.41,22.41,19056443.0,151650.00,16.09,-99.99%,36.81%,3.80%,25.27%,-1.10%
